Title,Link
Petition für einen neuen Skatepark in Backnang - Онлайн өтініш,https://www.openpetition.de/petition/online/petition-fuer-einen-neuen-skatepark-in-backnang?language=kk_KZ.utf8
"občanské iniciativy, petice online, kampaně - openPetition",https://www.openpetition.eu/nl?language=cs_CZ.utf8
Skatepark Für St.Andrä-Wördern - Online petition - openPetition.eu,https://www.openpetition.eu/at/petition/online/skatepark-fuer-st-andrae-woerdern?language=en_GB.utf8
Petitionen in Königreich der Niederlande - openPetition.eu,https://www.openpetition.eu/nl/region/petition/Koninkrijk_der_Nederlanden?language=de_DE.utf8
Neuer Skatepark für Klagenfurt - Online petition - openPetition,https://www.openpetition.de/petition/online/neuer-skatepark-fuer-klagenfurt?language=en_GB.utf8
Petitsioonid Šveits - openPetition.eu,https://www.openpetition.eu/ch/region/petition/Schweiz?seite=48&language=et_EE.utf8
Neuer Skatepark für Willich - Online-Petition - openPetition,https://www.openpetition.de/petition/online/neuer-skatepark-fuer-willich
Statistik & Karten: Neuaufbau Skatepark Regau - Online-Petition,https://www.openpetition.eu/at/petition/statistik/neuaufbau-skatepark-regau
"Građanske inicijative, online peticije, kampanje - openPetition.eu",https://www.openpetition.eu/nl?language=hr_HR.utf8
Pumptrack und Skatepark für Thale - Online-Petition - openPetition,https://www.openpetition.de/petition/online/pumptrack-und-skatepark-fuer-thale?language=de_DE.utf8
